image,output,timestamp
"{""background"": "".gradio\\flagged\\image\\ef80f5b70fff711abab5\\background.png"", ""layers"": ["".gradio\\flagged\\image\\20453b46e9f2660cfdf7\\layer_0.png""], ""composite"": "".gradio\\flagged\\image\\26feae3327b550159dc0\\composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-10-06 15:42:49.467289
"{""background"": "".gradio\\flagged\\image\\76b427db1e06f9e5d280\\background.png"", ""layers"": ["".gradio\\flagged\\image\\f812f95e4d9931af8687\\layer_0.png""], ""composite"": "".gradio\\flagged\\image\\c577eba2f9b7e2bdb8ac\\composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-10-06 15:42:52.277861
